rainfall,runoff
0,120
8.67,117
0,114
0,111
10.6,108
0,105
0,102
2.92,99.3
0,96.8
0,94.1
11.4,92.4
0,89.9
9.37,87.7
0,85.3
0,83.3
9.1,81.5
0,79.8
0,77.9
0,76.3
0,74.6
0,72.9
0.32,71.3
0,69.8
0.27,68.7
0,67
2.32,65.5
10.4,65
0,64
0,62.9
0,61.9
0,60.9
10.7,60.2
0,59.1
11,58.7
0.195,58
9.42,57.7
0,56.8
0,56
0,55.2
0,54.6
0,53.9
4.02,53
0,52.2
0.132,51.7
4.24,50.6
0.026,49.9
0.248,49.4
0,48.6
0.06,47.9
0.838,47.1
0.205,46.5
0.112,45.9
0.032,45.3
0.327,44.8
0.137,44
0,43.6
0,43.1
0,42.5
8.23,42
0.145,41.6
0,41.2
1.09,41
0,40.5
0.493,40.1
7.7,39.9
0.196,39.4
7.88,39.3
8.73,38.9
1.03,38.6
0.312,38.6
0.857,38.4
0.374,38.4
0,38.7
7.7,38.7
6.51,38.9
5.11,39.1
7.36,39.4
8.56,39.9
0.357,40.4
3.75,40.8
0.486,41.7
0.552,42.4
2.75,43.2
0,44
0.59,45.2
0,46.4
9.59,47.6
0,49.1
0.263,50.6
0,52.1
1.13,54.1
7.11,56
2.74,58.3
3.44,60.3
0,62.5
3.26,64.8
0,67.6
0.134,70.2
0.191,73.3
0.205,76.7
1.31,80.3
0.28,86
1.29,91.8
0.319,97.8
0,104
6.09,109
6.97,125
3.51,128
0.277,133
1.89,138
0.141,144
0.282,149
4.2,154
0.142,159
4.17,164
0.191,168
0.159,173
2.29,176
4.74,180
1.05,182
6.88,185
0,187
0.089,189
0,191
1.6,193
1.59,196
0.162,201
0.2,208
0.251,218
0.391,232
0,252
0.655,1.29E+03
0,453
0,1.25E+03
0,504
0,474
0,1.15E+03
0,1.08E+03
2.14,1.01E+03
0,939
6.72,934
0.195,898
0,877
1.69,860
0,841
5.17,820
0,797
0.101,772
0,454
0.632,425
1.5,412
1.28,409
0.088,411
0,385
0,384
0,388
0,396
1.5,406
0.157,1.43E+03
0,1.14E+03
8.44,1.08E+03
0,919
10.4,879
0,872
0,888
0,916
0,947
0,977
0,1.00E+03
0,1.02E+03
2.23,1.04E+03
11.2,1.07E+03
0,1.06E+03
0,1.05E+03
0,1.04E+03
0,1.02E+03
0,1.00E+03
13.5,1.10E+03
0,1.02E+03
0,968
12.6,1.00E+03
2.36,935
0,887
4.1,847
0,809
2.24,776
7.68,765
16.7,994
3.83,833
0.909,455
0,420
14.2,1.12E+03
6,510
0.493,452
3.51,427
13.3,421
3.75,421
11.8,432
0.463,439
14.7,480
12.9,511
3.74,483
0.599,487
14,508
14,540
13,578
5.24,588
0.512,618
0.771,636
0.608,2.09E+03
13.3,1.70E+03
11.7,869
3.28,755
15.5,705
1.91,681
7.67,1.49E+03
7.98,786
9.67,741
5.61,1.45E+03
6.95,802
7.18,1.64E+03
9.43,1.42E+03
6.1,1.30E+03
0.837,805
9.5,1.44E+03
0.807,818
6.84,755
5.72,736
8.93,732
5.08,740
5.52,760
6.32,775
5.34,794
8.81,810
8.26,1.95E+03
7.08,1.68E+03
6.11,941
8.56,1.61E+03
10.3,2.16E+03
3.83,1.25E+03
6.23,1.29E+03
10.4,1.27E+03
4.96,1.32E+03
6.25,1.30E+03
5.22,1.29E+03
0,1.22E+03
0.076,1.19E+03
0,1.16E+03
0.001,1.14E+03
6.02,1.13E+03
11.2,1.22E+03
0.075,1.09E+03
12,1.24E+03
15.6,2.15E+03
11.5,1.56E+03
13.7,1.66E+03
11.5,2.45E+03
0,1.48E+03
12.1,1.67E+03
13.7,3.68E+03
0,1.04E+03
16.2,2.67E+03
0,1.54E+03
13,1.65E+03
0,1.48E+03
0.05,1.34E+03
0,1.27E+03
16.3,2.68E+03
0.076,1.02E+03
16.8,1.88E+03
0.076,1.48E+03
0.001,1.37E+03
0.359,1.32E+03
0.001,1.29E+03
0.001,1.27E+03
0,1.24E+03
0,1.22E+03
0,1.19E+03
0,1.17E+03
6.57,1.14E+03
0,1.11E+03
0,1.08E+03
0,1.05E+03
0.469,1.02E+03
0,647
0,603
7.48,586
0,582
6.97,584
0,587
0,591
0,592
0,555
0,550
0,548
0,547
0,546
8.08,543
0,540
7.9,534
0,528
0,522
0,514
0,506
0,498
2.74,489
0,481
0,472
0,463
0,455
0,446
0,438
0,429
0,420
0,413
1.23,405
0,397
0,389
0,381
0,372
0,362
0,353
3.41,344
0,331
0.633,322
0,313
0,305
0,297
0,290
0,283
0,276
0,270
0,263
6.54,259
0,253
4.1,247
0,236
0,228
0,221
0,215
0.467,210
0,204
0.167,199
0.734,194
0,189
0,184
0,179
0,174
0.311,169
0,165
0,161
0,156
0,152
0,148
0.024,144
0,140
0,137
0.2,134
0,131
0,127
0.099,124
0,121
0,118
0,116
0,113
0,110
0,108
0,105
0,102
0.911,98.9
0,95.9
0.401,93
0.39,90.6
0.533,88.4
10.3,87
0,85.2
0,83.1
3.6,81.5
0,79.6
0,78
0,76.4
4.88,74.6
0,73.3
0,71.5
0,70.1
0,68.7
9.46,67.4
0,65.9
8.38,64.7
1.5,63
9.62,61.9
0,60.7
9.02,59.4
0.015,58.5
0,57.2
0,56.2
0,55.2
0,53.9
3.61,53
0,52.2
0.16,51.3
0.845,50.2
2.17,49.7
4.06,48.6
0.996,48
0,47.2
0,46.3
0,45.7
9.07,44.8
9.77,44.2
0.238,43.6
0.199,43
0.102,42.3
1.86,41.7
0,41.2
0.117,40.7
0.905,40.3
0.135,39.6
0.506,39.2
0,38.6
0.189,38.4
0.544,38
0,37.6
11.8,37.1
9.5,36.8
0.779,36.6
0,36.2
4.48,36.2
1.02,36.1
1.83,35.8
0,35.7
0.587,35.9
2.53,35.7
0.039,35.8
8.47,36
4.44,36.3
0.411,36.3
4.9,36.5
4.74,36.9
0.175,37.5
0.155,37.9
0.294,38.6
0.278,39.2
0.602,39.8
0.388,40.6
0.837,41.4
0.663,42.2
0.619,42.9
0,43.8
6.69,44.8
3.03,45.8
0.382,46.7
0.003,47.6
0.511,48.8
4.78,49.9
8.51,51.2
0.535,52.3
0.572,53.6
0,55
0.239,56.8
0,58.9
0.593,61.4
0,64.5
0.198,68.5
0,73.2
0.441,78.6
0,84.5
0.557,91.4
0.385,98.9
6.02,107
0.186,116
5.92,126
0.333,136
0.291,147
0.369,158
6.41,169
0.501,181
0,192
1.34,204
0,215
0.187,225
3.23,235
2.19,243
0.479,251
6.98,262
2.7,270
0,275
0,279
0.934,281
2.53,282
2.43,281
0,280
0,278
0,274
0,271
0.086,268
0,264
0,260
1.45,256
1.27,253
3.37,250
0.315,247
4.72,244
0.34,241
0,238
0,236
2.94,234
5.88,231
3.42,229
5.09,227
3.98,225
0.1,223
0,221
0.26,219
0.575,217
1.07,215
0.143,213
0.4,211
8.04,209
0,208
0,208
0,209
9.41,213
2.59,220
0,231
11.5,248
0,271
9.71,1.11E+03
0,478
2.17,1.13E+03
9.64,1.08E+03
0.383,1.06E+03
10.9,1.08E+03
0.243,1.12E+03
0,1.19E+03
0,1.28E+03
5.38,1.37E+03
0,1.45E+03
0,1.53E+03
0,1.59E+03
0,1.63E+03
0,1.66E+03
0,1.67E+03
11.1,1.66E+03
11.1,1.66E+03
5.44,1.69E+03
0,1.66E+03
9.27,1.63E+03
0,1.59E+03
15.2,1.57E+03
0.531,1.53E+03
0.606,1.50E+03
0.378,1.47E+03
2.9,1.43E+03
12.9,1.44E+03
12.5,1.42E+03
2.86,1.36E+03
13.3,1.37E+03
3.28,1.30E+03
5.47,1.27E+03
4.28,1.33E+03
0.895,1.27E+03
14,1.29E+03
13.8,1.26E+03
4.84,1.19E+03
14.7,1.19E+03
2.4,1.13E+03
1.55,1.09E+03
12.1,1.09E+03
15.4,1.13E+03
3.3,1.07E+03
4.6,1.04E+03
0.275,623
14.5,1.19E+03
14.5,666
13.1,1.34E+03
2.69,717
11.3,1.43E+03
4.95,760
1.5,713
8.64,718
9.3,735
7.31,791
8.72,2.23E+03
10.6,1.90E+03
10,2.17E+03
8.07,1.66E+03
7.04,1.61E+03
11.1,1.51E+03
9.45,1.52E+03
0.611,939
8.34,1.74E+03
0.87,963
5.38,1.56E+03
0.556,915
1.21,845
13.8,2.10E+03
3.12,1.14E+03
12.7,2.56E+03
0.823,1.75E+03
9.45,1.09E+03
5.67,1.69E+03
9.56,1.58E+03
5.67,1.04E+03
7.6,1.64E+03
8.84,1.61E+03
6.99,1.52E+03
3.82,1.01E+03
8.22,1.60E+03
3.58,1.03E+03
0.081,954
0.076,931
14.4,971
0.054,965
12.9,2.26E+03
0.007,1.14E+03
15.5,2.17E+03
0,1.11E+03
0,980
0,919
7.4,927
0,902
13.9,2.17E+03
2.28,1.05E+03
14.5,1.97E+03
13.9,1.95E+03
13.3,1.88E+03
15.3,2.01E+03
13.2,2.14E+03
0.035,1.84E+03
0.07,1.69E+03
0.001,1.60E+03
0.413,1.53E+03
0.061,1.48E+03
14.5,1.58E+03
1.24,1.49E+03
1.46,1.43E+03
1.85,956
14.6,1.63E+03
0.076,976
10,1.67E+03
0,965
9.36,902
0,874
0,869
0,873
0,879
0,884
0,887
0,887
0,884
0,878
0.103,868
0,857
0,844
5.88,829
0,764
4.1,747
0.575,734
0,723
0,712
4.59,700
0,687
0,673
0,658
0,644
0,629
0.111,614
0,599
1.12,586
0,572
0,558
0,545
0,533
0,521
0,509
0,498
0.088,487
0,476
0,466
1.37,456
0,446
0,436
0.009,425
0,414
0,403
0,392
0,378
0,367
0,357
0,347
2.75,338
0.018,329
3.86,320
0.015,310
1.09,302
0,288
0,277
4.83,268
0,259
5.61,252
3.55,244
0,236
3.84,230
0,222
3.72,215
0,209
2.46,203
0,197
0,190
0,185
0,179
0,174
0.417,169
0,164
0,160
0,155
0,151
0,147
0,143
0,139
1.62,136
0.012,132
0,129
0,125
0,122
0,119
0,115
0,113
0.309,110
1.9,107
1.18,104
0,101
8.77,98.2
6.04,95.5
0,93.3
0,91
0,88.9
3.85,86.7
0.102,84.2
0,82.3
1.25,80.5
0,78.4
8.32,76.9
9.97,75.2
8.77,73.5
0,72.2
0,70.4
0.847,68.9
0,67.7
1.63,66.2
0,64.8
1.47,63.8
2.08,62.7
0,61.2
0,60.1
0.717,58.9
0,57.9
3.93,56.8
0.967,55.6
0,54.5
0,53.6
0.912,52.7
6.87,51.5
2.58,50.8
2,49.9
3.74,48.9
1.84,47.9
0.25,47.4
1.7,46.5
0.974,45.8
0.169,45
0.945,44.5
0.218,43.7
0.089,42.9
0.107,42.4
0,42
0.236,41.3
0,40.8
8.25,40.3
0,39.8
8.95,39.3
0,38.8
0,38.3
0,38.1
1.17,37.5
1.82,37.3
0.184,37
0.237,36.5
3.96,36.4
1.46,36.1
1.05,35.7
0.424,35.7
5,35.4
8.25,35.2
0,35.2
0.766,35.1
0,35.1
0.426,35.2
0.948,35.2
0.429,35.3
0.073,35.5
0.655,35.5
0.399,36
0.641,36.4
1.57,36.7
1.35,37.5
0.899,38.1
0.385,38.9
0,39.7
1.82,40.4
5.08,41.5
0.239,42.6
1.72,43.9
0.435,44.7
0.441,46
0.266,47.3
2.43,48.3
8.44,49.5
7.84,50.6
0.569,51.8
0,52.6
3.22,53.7
0,54.7
3.02,55.7
0.657,56.5
0,57.8
3.42,58.9
0,60.2
2.9,61.4
1.37,62.9
0.212,64.2
0.234,65.7
0.52,67.3
0.608,68.9
2.98,70.9
3.46,72.6
0.325,74.5
0.121,76.4
0,78.5
0.124,80.9
0,83.3
0.33,85.8
0.896,88.2
0.923,90.8
0.139,93.6
0.177,95.9
4.1,98.7
0,101
6.64,104
0,106
6.17,109
0,111
0.336,114
0.497,116
0.134,119
0.216,122
2.98,125
2.44,129
0.183,136
0,143
6.38,154
0,168
0,187
3.75,211
0.359,240
2.71,273
1.46,309
0.109,345
0.211,382
0.158,416
0,448
0,476
0.169,504
0,529
2.23,617
0.822,635
0.162,656
1.25,678
0,701
1.27,723
5.89,744
0.142,762
0,776
0,787
0,796
1.38,806
0,817
0,830
0,847
9.37,870
1.83,2.74E+03
0,2.15E+03
0,1.72E+03
0,1.52E+03
1.67,1.45E+03
2.35,1.46E+03
0,1.50E+03
2.69,1.55E+03
0,1.60E+03
11.3,1.64E+03
0,1.66E+03
11.3,1.66E+03
13.2,1.66E+03
0,1.64E+03
11.6,1.61E+03
0,1.56E+03
9.31,1.51E+03
0.262,1.46E+03
0,1.40E+03
0,1.34E+03
1.88,1.28E+03
9.53,1.24E+03
10.1,1.20E+03
3.79,1.15E+03
13.7,1.21E+03
0.458,636
16.1,1.38E+03
11.8,667
1.3,624
15.2,623
0.3,641
13.3,681
9.45,2.15E+03
1.78,1.75E+03
0.139,1.46E+03
12.5,1.32E+03
13.4,1.28E+03
14.4,1.25E+03
3.97,1.22E+03
15,1.26E+03
0.98,1.22E+03
0.41,1.20E+03
0.765,1.17E+03
3.94,667
2.71,641
10.3,658
3.15,671
14.4,703
5.81,727
3.61,744
4.1,760
4.72,772
13.4,794
7.9,836
8.24,849
7.08,923
1.34,885
10.3,903
2.99,881
11.1,889
10.1,893
12.5,988
8.34,978
9.05,1.03E+03
10.9,1.11E+03
5.48,1.10E+03
8.57,1.11E+03
8.46,3.44E+03
8.59,1.36E+03
7.95,2.61E+03
7.3,1.21E+03
4.9,1.08E+03
6.24,1.10E+03
8.01,1.14E+03
7.79,1.14E+03
7.17,2.79E+03
7.58,2.41E+03
10.9,1.34E+03
7.92,1.23E+03
11.3,2.38E+03
9.47,2.19E+03
7.62,2.06E+03
7.01,2.08E+03
6.89,2.15E+03
12.9,2.71E+03
13.1,2.90E+03
14.5,2.85E+03
0.169,2.43E+03
18.6,2.66E+03
1.73,2.36E+03
18.3,2.59E+03
0.047,2.29E+03
0.147,2.13E+03
0,2.01E+03
0,1.92E+03
0.076,1.84E+03
0.044,1.23E+03
18.2,2.02E+03
13.7,2.13E+03
15,2.35E+03
0.001,2.05E+03
0.089,1.87E+03
0,1.16E+03
0.076,1.06E+03
0,1.02E+03
17.9,1.19E+03
16.2,3.03E+03
17,2.94E+03
14.1,2.70E+03
19.2,2.91E+03
13.6,2.78E+03
0.099,2.35E+03
13.2,2.57E+03
0.076,2.27E+03
6.4,2.23E+03
0,2.08E+03
0,1.97E+03
0,1.88E+03
0,1.20E+03
0,1.12E+03
0,1.10E+03
0,1.10E+03
0,1.11E+03
0,1.12E+03
0.37,1.12E+03
0.353,1.12E+03
0,1.11E+03
5.75,1.10E+03
0,1.08E+03
7.66,1.06E+03
0,1.04E+03
6.56,1.01E+03
0,987
0,961
0,934
0,908
0,883
0,800
0,776
0,760
0,746
0,733
0,719
0,705
0,690
0,675
0,661
0.685,646
0,632
0.636,618
0,605
0.778,592
0,580
0,567
0,555
0,544
0,533
0,521
0,510
0,499
0,488
0,478
0,466
0,450
1.34,437
0,425
0,413
0,402
0,392
0,382
0,371
0,362
0,352
0,342
0,332
0,323
3.19,306
7.21,295
0,284
0,275
0,266
0,258
0,249
0,242
0.862,235
0,228
0,221
0,215
0,209
1.19,203
3.59,197
0,191
0,186
0,181
0,176
0,171
0,166
0.196,162
0,157
0,153
4.5,148
0,144
4.5,140
0,136
0,132
0,128
0,124
0.805,120
0,117
1.16,114
0,111
4.49,108
0.188,104
0,102
0,98.7
0.57,96.4
0,94
0,91.5
0,89.2
0,87
0,84.6
0,82.8
0,80.8
0,78.7
